,idnum,cp6adult_int,cp6kids_int,cp6povco_int
0,0001,2.0,2.0,2.6667795181274414
1,0002,3.0,4.0,0.8719108700752258
2,0003,2.0,2.0,4.499026298522949
3,0004,2.0,2.0,2.0409862995147705
5,0006,2.0,1.0,0.4427184462547302
7,0008,3.0,3.0,1.1211460828781128
8,0009,1.0,4.0,1.0958503484725952
9,0010,1.0,1.0,1.7469509840011597
10,0011,2.0,5.0,1.9530919790267944
11,0012,2.0,4.0,2.052415609359741
12,0013,2.0,3.0,5.698711395263672
13,0014,1.0,5.0,1.2440661191940308
14,0015,2.0,1.0,3.4111781120300293
15,0016,2.0,2.0,4.99251127243042
17,0018,2.0,3.0,0.5742248296737671
18,0019,2.0,5.0,0.07354079931974411
20,0021,4.0,1.0,3.5146443843841553
21,0022,3.0,1.0,4.839055061340332
22,0023,1.0,1.0,0.8580008745193481
23,0024,2.0,3.0,1.4158289432525635
24,0025,3.0,1.0,1.0476689338684082
26,0027,4.0,3.0,0.3823397159576416
27,0028,1.0,2.0,2.237732410430908
28,0029,5.0,2.0,3.177713632583618
29,0030,2.0,1.0,8.92154312133789
30,0031,1.0,3.0,2.4875621795654297
32,0033,1.0,2.0,1.3631834983825684
35,0036,1.0,2.0,1.1954071521759033
38,0039,1.0,1.0,3.4278018474578857
39,0040,2.0,5.0,1.411193609237671
40,0041,2.0,1.0,4.460771560668945
41,0042,1.0,2.0,0.735070526599884
42,0043,1.0,2.0,1.5204739570617676
43,0044,1.0,1.0,4.16743278503418
44,0045,4.0,4.0,1.0843112468719482
45,0046,1.0,3.0,0.12407123297452927
47,0048,1.0,3.0,2.0790750980377197
48,0049,1.0,1.0,9.192866325378418
51,0052,1.0,2.0,2.097205400466919
52,0053,2.0,2.0,7.7057647705078125
53,0054,2.0,1.0,9.866140365600586
55,0056,3.0,3.0,0.9193711280822754
56,0057,2.0,5.0,1.4835313558578491
57,0058,2.0,3.0,4.255380153656006
58,0059,2.0,4.0,0.21970318257808685
59,0060,2.0,2.0,2.499166965484619
60,0061,1.0,1.0,3.32814359664917
61,0062,2.0,3.0,1.2388503551483154
62,0063,2.0,3.0,1.2776440382003784
63,0064,3.0,2.0,1.122885823249817
65,0066,3.0,2.0,5.322408676147461
67,0068,4.0,2.0,3.4831697940826416
70,0071,1.0,1.0,1.0852484703063965
71,0072,3.0,2.0,3.966201066970825
73,0074,2.0,3.0,7.265925884246826
75,0076,3.0,3.0,0.7652280330657959
76,0077,1.0,2.0,2.3331410884857178
79,0080,1.0,2.0,41.89358901977539
80,0081,3.0,3.0,2.8160390853881836
82,0083,1.0,4.0,1.2113587856292725
83,0084,1.0,1.0,0.1535821557044983
84,0085,2.0,1.0,1.048327922821045
85,0086,2.0,2.0,1.904842495918274
86,0087,1.0,1.0,1.8651713132858276
87,0088,1.0,4.0,0.5479251742362976
89,0090,2.0,2.0,1.4791076183319092
92,0093,4.0,6.0,1.1823002099990845
93,0094,2.0,1.0,2.4770400524139404
94,0095,2.0,2.0,0.42329832911491394
95,0096,2.0,3.0,1.2647026777267456
96,0097,3.0,2.0,0.8459944725036621
97,0098,1.0,1.0,1.8385732173919678
99,0100,2.0,3.0,5.656508445739746
100,0101,3.0,4.0,0.8558987379074097
102,0103,1.0,1.0,1.4095728397369385
103,0104,2.0,2.0,0.7598628401756287
104,0105,2.0,4.0,0.631512463092804
106,0107,1.0,2.0,1.3532953262329102
107,0108,2.0,2.0,6.300691604614258
108,0109,1.0,3.0,1.4341756105422974
111,0112,2.0,7.0,2.156184673309326
112,0113,3.0,5.0,2.111696243286133
113,0114,3.0,4.0,0.08719108253717422
114,0115,3.0,2.0,3.9465224742889404
115,0116,1.0,6.0,1.4984134435653687
116,0117,2.0,1.0,4.198373317718506
118,0119,2.0,4.0,0.9483767151832581
121,0122,2.0,9.0,1.0649906396865845
122,0123,2.0,2.0,0.7647867202758789
124,0125,3.0,2.0,4.350828647613525
125,0126,1.0,4.0,0.44016656279563904
127,0128,2.0,1.0,1.8487013578414917
128,0129,2.0,2.0,1.3313363790512085
130,0131,1.0,2.0,0.15983803570270538
131,0132,2.0,5.0,2.1511545181274414
132,0133,3.0,1.0,0.8058992028236389
135,0136,2.0,2.0,2.9156947135925293
137,0138,1.0,1.0,4.27774715423584
138,0139,2.0,5.0,1.411193609237671
139,0140,3.0,4.0,0.8719108700752258
140,0141,2.0,2.0,13.333897590637207
141,0142,3.0,5.0,1.3647642135620117
142,0143,4.0,3.0,0.03105924092233181
143,0144,3.0,2.0,2.759096384048462
144,0145,2.0,3.0,4.778422832489014
145,0146,1.0,1.0,3.1139066219329834
147,0148,4.0,2.0,0.8407132029533386
148,0149,3.0,2.0,1.0527054071426392
149,0150,3.0,1.0,5.842769145965576
150,0151,1.0,1.0,2.2062878608703613
151,0152,1.0,1.0,1.3482871055603027
152,0153,2.0,1.0,7.999573230743408
153,0154,1.0,2.0,3.037285327911377
154,0155,2.0,3.0,5.505309581756592
156,0157,2.0,1.0,2.639936923980713
157,0158,2.0,3.0,2.158195734024048
158,0159,2.0,1.0,1.574389934539795
159,0160,1.0,4.0,0.7189072370529175
160,0161,1.0,2.0,1.572904109954834
161,0162,1.0,2.0,0.43071356415748596
162,0163,4.0,1.0,1.2159740924835205
164,0165,3.0,1.0,0.4094836413860321
165,0166,3.0,1.0,1.8535680770874023
166,0167,2.0,1.0,1.574389934539795
167,0168,1.0,1.0,0.8594382405281067
169,0170,3.0,1.0,3.6265463829040527
170,0171,3.0,3.0,1.379056692123413
171,0172,3.0,1.0,2.6616437435150146
172,0173,2.0,1.0,1.706575632095337
173,0174,2.0,1.0,11.545526504516602
174,0175,2.0,2.0,7.497500896453857
176,0177,2.0,5.0,0.6578524708747864
177,0178,2.0,3.0,4.136541843414307
178,0179,1.0,3.0,1.432070016860962
179,0180,4.0,2.0,5.254781723022461
180,0181,2.0,1.0,2.2566256523132324
181,0182,4.0,2.0,1.555415391921997
182,0183,1.0,3.0,1.4832509756088257
183,0184,2.0,3.0,0.2869177460670471
187,0188,2.0,2.0,1.5297400951385498
188,0189,3.0,3.0,0.9193711280822754
191,0192,1.0,3.0,1.0377318859100342
192,0193,3.0,3.0,1.7128620147705078
193,0194,1.0,2.0,1.309174656867981
194,0195,2.0,2.0,2.0868184566497803
195,0196,2.0,3.0,1.7826348543167114
196,0197,,,
197,0198,1.0,1.0,12.257155418395996
198,0199,3.0,3.0,3.7922141551971436
202,0203,1.0,3.0,1.1810857057571411
203,0204,2.0,2.0,1.5828057527542114
204,0205,2.0,1.0,0.21438856422901154
205,0206,1.0,3.0,0.6475447416305542
206,0207,1.0,1.0,2.8647942543029785
208,0209,2.0,4.0,0.08995117247104645
209,0210,1.0,2.0,0.15729041397571564
210,0211,2.0,4.0,2.276103973388672
211,0212,2.0,2.0,0.7727840542793274
212,0213,2.0,3.0,1.8278300762176514
215,0216,3.0,2.0,3.1077349185943604
216,0217,2.0,3.0,5.663315773010254
217,0218,1.0,1.0,1.9611448049545288
218,0219,1.0,3.0,0.36735984683036804
220,0221,3.0,3.0,0.9794918894767761
221,0222,1.0,2.0,2.097205400466919
224,0225,4.0,1.0,2.242677927017212
225,0226,2.0,9.0,0.3933315873146057
227,0228,3.0,2.0,6.140781879425049
228,0229,4.0,1.0,0.20083682239055634
229,0230,2.0,5.0,3.104625940322876
231,0232,2.0,4.0,0.743306040763855
232,0233,3.0,1.0,3.764800548553467
233,0234,1.0,5.0,1.4496955871582031
234,0235,1.0,1.0,3.971318244934082
235,0236,2.0,1.0,4.618210315704346
236,0237,2.0,2.0,20.8021297454834
239,0240,3.0,1.0,1.0237090587615967
240,0241,3.0,1.0,3.251297950744629
241,0242,3.0,1.0,4.029495716094971
242,0243,3.0,2.0,1.1740331649780273
243,0244,2.0,2.0,1.0401065349578857
244,0245,2.0,3.0,1.1170543432235718
246,0247,1.0,2.0,0.9173176884651184
248,0249,4.0,4.0,2.4095804691314697
249,0250,2.0,2.0,2.36979341506958
250,0251,2.0,5.0,1.860569953918457
251,0252,2.0,1.0,11.545526504516602
253,0254,5.0,7.0,0.027752870693802834
254,0255,1.0,2.0,1.7301945686340332
255,0256,1.0,1.0,0.8212293982505798
256,0257,1.0,2.0,1.8647769689559937
