,idnum,cp6adult_int,cp6kids_int,cp6povco_int,cp6edu_int,cp6yloth_int
0,0001,2.0,2.0,2.6667795181274414,3.0,1.0
1,0002,3.0,4.0,0.8719108700752258,3.0,1.0
2,0003,2.0,2.0,4.499026298522949,3.0,1.0
3,0004,2.0,2.0,2.0409862995147705,2.0,1.0
5,0006,2.0,1.0,0.4427184462547302,3.0,1.0
7,0008,3.0,3.0,1.1211460828781128,3.0,1.0
8,0009,1.0,4.0,1.0958503484725952,3.0,1.0
9,0010,1.0,1.0,1.7469509840011597,3.0,1.0
10,0011,2.0,5.0,1.9530919790267944,3.0,1.0
11,0012,2.0,4.0,2.052415609359741,3.0,1.0
12,0013,2.0,3.0,5.698711395263672,4.0,1.0
13,0014,1.0,5.0,1.2440661191940308,4.0,1.0
14,0015,2.0,1.0,3.4111781120300293,4.0,1.0
15,0016,2.0,2.0,4.99251127243042,4.0,1.0
17,0018,2.0,3.0,0.5742248296737671,3.0,1.0
18,0019,2.0,5.0,0.07354079931974411,3.0,1.0
20,0021,4.0,1.0,3.5146443843841553,3.0,1.0
21,0022,3.0,1.0,4.839055061340332,3.0,1.0
22,0023,1.0,1.0,0.8580008745193481,3.0,1.0
23,0024,2.0,3.0,1.4158289432525635,4.0,1.0
24,0025,3.0,1.0,1.0476689338684082,3.0,1.0
26,0027,4.0,3.0,0.3823397159576416,2.0,1.0
27,0028,1.0,2.0,2.237732410430908,2.0,1.0
28,0029,5.0,2.0,3.177713632583618,4.0,1.0
29,0030,2.0,1.0,8.92154312133789,3.0,1.0
30,0031,1.0,3.0,2.4875621795654297,2.0,1.0
32,0033,1.0,2.0,1.3631834983825684,3.0,1.0
35,0036,1.0,2.0,1.1954071521759033,3.0,1.0
38,0039,1.0,1.0,3.4278018474578857,4.0,1.0
39,0040,2.0,5.0,1.411193609237671,3.0,1.0
40,0041,2.0,1.0,4.460771560668945,2.0,1.0
41,0042,1.0,2.0,0.735070526599884,3.0,1.0
42,0043,1.0,2.0,1.5204739570617676,3.0,1.0
43,0044,1.0,1.0,4.16743278503418,3.0,1.0
44,0045,4.0,4.0,1.0843112468719482,3.0,1.0
45,0046,1.0,3.0,0.12407123297452927,3.0,1.0
47,0048,1.0,3.0,2.0790750980377197,3.0,1.0
